id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;1;0
20;Senegal;10;Netherlands;1;2
51;Qatar;20;Senegal;0;0
10;Netherlands;46;Ecuador;2;0
46;Ecuador;20;Senegal;0;1
10;Netherlands;51;Qatar;1;1
Group B;;;;;
5;England;21;IR Iran;1;1
15;USA;18;Wales;0;0
18;Wales;21;IR Iran;1;3
5;England;15;USA;2;0
18;Wales;5;England;1;1
21;IR Iran;15;USA;2;1
Group C;;;;;
4;Argentina;49;Saudi Arabia;3;2
9;Mexico;26;Poland;1;1
26;Poland;49;Saudi Arabia;0;1
4;Argentina;9;Mexico;1;0
26;Poland;4;Argentina;1;2
49;Saudi Arabia;9;Mexico;0;0
Group D;;;;;
11;Denmark;35;Tunisia;2;1
3;France;42;Australia;2;0
35;Tunisia;42;Australia;0;0
3;France;11;Denmark;1;0
42;Australia;11;Denmark;2;2
35;Tunisia;3;France;1;1
Group E;;;;;
12;Germany;23;Japan;3;0
7;Spain;31;Costa Rica;2;1
23;Japan;31;Costa Rica;0;0
7;Spain;12;Germany;2;2
23;Japan;7;Spain;0;2
31;Costa Rica;12;Germany;0;2
Group F;;;;;
24;Morocco;16;Croatia;1;1
2;Belgium;38;Canada;0;0
2;Belgium;24;Morocco;2;1
16;Croatia;38;Canada;2;1
16;Croatia;2;Belgium;0;1
38;Canada;24;Morocco;2;2
Group G;;;;;
14;Switzerland;37;Cameroon;1;2
1;Brazil;25;Serbia;3;1
37;Cameroon;25;Serbia;1;2
1;Brazil;14;Switzerland;2;0
25;Serbia;14;Switzerland;1;2
37;Cameroon;1;Brazil;1;1
Group H;;;;;
13;Uruguay;29;South Korea;2;1
8;Portugal;60;Ghana;2;0
29;South Korea;60;Ghana;1;1
8;Portugal;13;Uruguay;2;1
60;Ghana;13;Uruguay;0;2
29;South Korea;8;Portugal;0;1
Round of 16;;;;;
10;Netherlands;5;England;0;1
4;Argentina;11;Denmark;1;0
12;Germany;16;Croatia;2;0
1;Brazil;13;Uruguay;1;0
21;IR Iran;51;Qatar;0;1
3;France;49;Saudi Arabia;2;0
2;Belgium;7;Spain;1;2
8;Portugal;37;Cameroon;3;1
Quarter final;;;;;
5;England;4;Argentina;1;2
12;Germany;1;Brazil;1;0
51;Qatar;3;France;0;1
7;Spain;8;Portugal;2;1
Semi-Final;;;;;
4;Argentina;12;Germany;1;2
3;France;7;Spain;0;1
Third place;;;;;
4;Argentina;3;France;2;1
Final;;;;;
12;Germany;7;Spain;1;2
