id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,2,0
20,Senegal,10,Netherlands,0,1
51,Qatar,20,Senegal,1,2
10,Netherlands,46,Ecuador,2,0
46,Ecuador,20,Senegal,1,2
10,Netherlands,51,Qatar,1,0
Group B,,,,,
5,England,21,IR Iran,2,0
15,USA,18,Wales,1,1
18,Wales,21,IR Iran,2,1
5,England,15,USA,3,1
18,Wales,5,England,0,3
21,IR Iran,15,USA,0,0
Group C,,,,,
4,Argentina,49,Saudi Arabia,2,0
9,Mexico,26,Poland,1,2
26,Poland,49,Saudi Arabia,2,0
4,Argentina,9,Mexico,1,1
26,Poland,4,Argentina,0,2
49,Saudi Arabia,9,Mexico,1,2
Group D,,,,,
11,Denmark,35,Tunisia,1,0
3,France,42,Australia,2,1
35,Tunisia,42,Australia,1,3
3,France,11,Denmark,3,3
42,Australia,11,Denmark,1,2
35,Tunisia,3,France,0,2
Group E,,,,,
12,Germany,23,Japan,2,0
7,Spain,31,Costa Rica,3,1
23,Japan,31,Costa Rica,2,2
7,Spain,12,Germany,0,1
23,Japan,7,Spain,0,2
31,Costa Rica,12,Germany,1,3
Group F,,,,,
24,Morocco,16,Croatia,0,1
2,Belgium,38,Canada,2,1
2,Belgium,24,Morocco,1,0
16,Croatia,38,Canada,2,2
16,Croatia,2,Belgium,1,1
38,Canada,24,Morocco,2,2
Group G,,,,,
14,Switzerland,37,Cameroon,0,2
1,Brazil,25,Serbia,2,1
37,Cameroon,25,Serbia,2,2
1,Brazil,14,Switzerland,2,0
25,Serbia,14,Switzerland,1,1
37,Cameroon,1,Brazil,1,2
Group H,,,,,
13,Uruguay,29,South Korea,2,1
8,Portugal,60,Ghana,1,0
29,South Korea,60,Ghana,0,2
8,Portugal,13,Uruguay,2,2
60,Ghana,13,Uruguay,0,1
29,South Korea,8,Portugal,0,2
Round of 16,,,,,
10,Netherlands,18,Wales,2,1
4,Argentina,11,Denmark,2,0
12,Germany,16,Croatia,1,0
1,Brazil,13,Uruguay,5,7
5,England,20,Senegal,1,0
3,France,26,Poland,2,1
2,Belgium,7,Spain,1,2
8,Portugal,37,Cameroon,3,1
Quarter final,,,,,
10,Netherlands,4,Argentina,0,2
12,Germany,13,Uruguay,2,1
5,England,3,France,6,5
7,Spain,8,Portugal,0,2
Semi-Final,,,,,
4,Argentina,12,Germany,3,2
5,England,8,Portugal,7,5
Third place,,,,,
12,Germany,8,Portugal,2,1
Final,,,,,
4,Argentina,5,England,3,1
