id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;2;0
20;Senegal;10;Netherlands;1;0
51;Qatar;20;Senegal;0;2
10;Netherlands;46;Ecuador;2;0
46;Ecuador;20;Senegal;0;3
10;Netherlands;51;Qatar;2;0
Group B;;;;;
5;England;21;IR Iran;4;0
15;USA;18;Wales;0;2
18;Wales;21;IR Iran;1;0
5;England;15;USA;3;0
18;Wales;5;England;1;2
21;IR Iran;15;USA;0;0
Group C;;;;;
4;Argentina;49;Saudi Arabia;3;0
9;Mexico;26;Poland;0;2
26;Poland;49;Saudi Arabia;4;0
4;Argentina;9;Mexico;2;0
26;Poland;4;Argentina;2;1
49;Saudi Arabia;9;Mexico;0;1
Group D;;;;;
11;Denmark;35;Tunisia;2;1
3;France;42;Australia;4;0
35;Tunisia;42;Australia;0;0
3;France;11;Denmark;3;1
42;Australia;11;Denmark;0;2
35;Tunisia;3;France;0;3
Group E;;;;;
12;Germany;23;Japan;2;0
7;Spain;31;Costa Rica;2;0
23;Japan;31;Costa Rica;0;0
7;Spain;12;Germany;1;1
23;Japan;7;Spain;2;0
31;Costa Rica;12;Germany;0;2
Group F;;;;;
24;Morocco;16;Croatia;0;0
2;Belgium;38;Canada;2;0
2;Belgium;24;Morocco;2;0
16;Croatia;38;Canada;1;0
16;Croatia;2;Belgium;0;2
38;Canada;24;Morocco;1;0
Group G;;;;;
14;Switzerland;37;Cameroon;0;0
1;Brazil;25;Serbia;3;0
37;Cameroon;25;Serbia;1;1
1;Brazil;14;Switzerland;3;1
25;Serbia;14;Switzerland;0;1
37;Cameroon;1;Brazil;0;4
Group H;;;;;
13;Uruguay;29;South Korea;0;0
8;Portugal;60;Ghana;2;0
29;South Korea;60;Ghana;0;0
8;Portugal;13;Uruguay;1;0
60;Ghana;13;Uruguay;1;2
29;South Korea;8;Portugal;0;3
Round of 16;;;;;
20;Senegal;18;Wales;0;1
26;Poland;11;Denmark;1;0
12;Germany;16;Croatia;1;0
1;Brazil;13;Uruguay;1;0
5;England;10;Netherlands;1;0
3;France;4;Argentina;1;0
2;Belgium;7;Spain;1;0
8;Portugal;14;Switzerland;1;0
Quarter final;;;;;
18;Wales;26;Poland;0;1
12;Germany;1;Brazil;0;1
5;England;3;France;0;1
2;Belgium;8;Portugal;0;1
Semi-Final;;;;;
26;Poland;1;Brazil;0;1
3;France;8;Portugal;1;0
Third place;;;;;
26;Poland;8;Portugal;1;0
Final;;;;;
1;Brazil;3;France;0;1
