id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,2,1
20,Senegal,10,Netherlands,2,3
51,Qatar,20,Senegal,1,0
10,Netherlands,46,Ecuador,2,1
46,Ecuador,20,Senegal,2,2
10,Netherlands,51,Qatar,2,2
Group B,,,,,
5,England,21,IR Iran,3,1
15,USA,18,Wales,2,2
18,Wales,21,IR Iran,1,2
5,England,15,USA,2,1
18,Wales,5,England,1,3
21,IR Iran,15,USA,2,2
Group C,,,,,
4,Argentina,49,Saudi Arabia,3,1
9,Mexico,26,Poland,1,3
26,Poland,49,Saudi Arabia,2,2
4,Argentina,9,Mexico,2,1
26,Poland,4,Argentina,2,2
49,Saudi Arabia,9,Mexico,3,3
Group D,,,,,
11,Denmark,35,Tunisia,3,1
3,France,42,Australia,3,1
35,Tunisia,42,Australia,2,2
3,France,11,Denmark,2,2
42,Australia,11,Denmark,2,3
35,Tunisia,3,France,1,3
Group E,,,,,
12,Germany,23,Japan,2,2
7,Spain,31,Costa Rica,2,2
23,Japan,31,Costa Rica,2,1
7,Spain,12,Germany,2,2
23,Japan,7,Spain,1,3
31,Costa Rica,12,Germany,1,2
Group F,,,,,
24,Morocco,16,Croatia,1,3
2,Belgium,38,Canada,3,2
2,Belgium,24,Morocco,2,1
16,Croatia,38,Canada,3,1
16,Croatia,2,Belgium,2,2
38,Canada,24,Morocco,2,0
Group G,,,,,
14,Switzerland,37,Cameroon,2,2
1,Brazil,25,Serbia,3,1
37,Cameroon,25,Serbia,1,2
1,Brazil,14,Switzerland,2,2
25,Serbia,14,Switzerland,2,2
37,Cameroon,1,Brazil,1,3
Group H,,,,,
13,Uruguay,29,South Korea,1,1
8,Portugal,60,Ghana,2,2
29,South Korea,60,Ghana,2,1
8,Portugal,13,Uruguay,2,2
60,Ghana,13,Uruguay,1,3
29,South Korea,8,Portugal,2,3
Round of 16,,,,,
10,Netherlands,21,IR Iran,3,2
4,Argentina,11,Denmark,7,6
7,Spain,2,Belgium,6,7
1,Brazil,8,Portugal,3,1
5,England,51,Qatar,1,2
3,France,26,Poland,2,1
16,Croatia,12,Germany,2,3
13,Uruguay,25,Serbia,2,1
Quarter final,,,,,
10,Netherlands,4,Argentina,6,7
2,Belgium,1,Brazil,2,3
51,Qatar,3,France,2,3
12,Germany,13,Uruguay,2,1
Semi-Final,,,,,
4,Argentina,1,Brazil,6,7
3,France,12,Germany,2,3
Third place,,,,,
4,Argentina,3,France,2,1
Final,,,,,
1,Brazil,12,Germany,6,7
