id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;2;1
20;Senegal;10;Netherlands;1;2
51;Qatar;20;Senegal;1;1
10;Netherlands;46;Ecuador;2;0
46;Ecuador;20;Senegal;1;1
10;Netherlands;51;Qatar;2;2
Group B;;;;;
5;England;21;IR Iran;2;0
15;USA;18;Wales;1;2
18;Wales;21;IR Iran;1;1
5;England;15;USA;2;1
18;Wales;5;England;2;2
21;IR Iran;15;USA;1;2
Group C;;;;;
4;Argentina;49;Saudi Arabia;3;1
9;Mexico;26;Poland;2;2
26;Poland;49;Saudi Arabia;2;0
4;Argentina;9;Mexico;2;1
26;Poland;4;Argentina;1;1
49;Saudi Arabia;9;Mexico;1;2
Group D;;;;;
11;Denmark;35;Tunisia;2;0
3;France;42;Australia;2;1
35;Tunisia;42;Australia;2;1
3;France;11;Denmark;3;3
42;Australia;11;Denmark;2;3
35;Tunisia;3;France;1;3
Group E;;;;;
12;Germany;23;Japan;2;2
7;Spain;31;Costa Rica;2;1
23;Japan;31;Costa Rica;2;1
7;Spain;12;Germany;1;2
23;Japan;7;Spain;2;2
31;Costa Rica;12;Germany;1;2
Group F;;;;;
24;Morocco;16;Croatia;1;3
2;Belgium;38;Canada;3;0
2;Belgium;24;Morocco;2;2
16;Croatia;38;Canada;2;1
16;Croatia;2;Belgium;2;3
38;Canada;24;Morocco;2;1
Group G;;;;;
14;Switzerland;37;Cameroon;1;1
1;Brazil;25;Serbia;2;2
37;Cameroon;25;Serbia;2;1
1;Brazil;14;Switzerland;2;2
25;Serbia;14;Switzerland;1;2
37;Cameroon;1;Brazil;1;3
Group H;;;;;
13;Uruguay;29;South Korea;2;2
8;Portugal;60;Ghana;2;1
29;South Korea;60;Ghana;2;1
8;Portugal;13;Uruguay;1;3
60;Ghana;13;Uruguay;2;2
29;South Korea;8;Portugal;1;3
Round of 16;;;;;
10;Netherlands;18;Wales;1;2
4;Argentina;11;Denmark;7;6
12;Germany;16;Croatia;2;1
1;Brazil;13;Uruguay;6;7
5;England;51;Qatar;1;2
3;France;26;Poland;2;1
2;Belgium;23;Japan;3;2
8;Portugal;14;Switzerland;1;2
Quarter final;;;;;
18;Wales;4;Argentina;1;3
12;Germany;13;Uruguay;2;1
51;Qatar;3;France;1;3
2;Belgium;14;Switzerland;3;2
Semi-Final;;;;;
4;Argentina;12;Germany;3;2
3;France;2;Belgium;1;2
Third place;;;;;
12;Germany;3;France;1;3
Final;;;;;
4;Argentina;2;Belgium;1;2
