id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;1;2
20;Senegal;10;Netherlands;3;2
51;Qatar;20;Senegal;3;3
10;Netherlands;46;Ecuador;1;2
46;Ecuador;20;Senegal;2;2
10;Netherlands;51;Qatar;2;1
Group B;;;;;
5;England;21;IR Iran;1;1
15;USA;18;Wales;3;1
18;Wales;21;IR Iran;2;1
5;England;15;USA;3;4
18;Wales;5;England;3;3
21;IR Iran;15;USA;2;1
Group C;;;;;
4;Argentina;49;Saudi Arabia;2;0
9;Mexico;26;Poland;1;2
26;Poland;49;Saudi Arabia;1;1
4;Argentina;9;Mexico;4;0
26;Poland;4;Argentina;0;3
49;Saudi Arabia;9;Mexico;3;0
Group D;;;;;
11;Denmark;35;Tunisia;3;1
3;France;42;Australia;4;5
35;Tunisia;42;Australia;0;3
3;France;11;Denmark;0;1
42;Australia;11;Denmark;3;2
35;Tunisia;3;France;1;1
Group E;;;;;
12;Germany;23;Japan;3;1
7;Spain;31;Costa Rica;3;2
23;Japan;31;Costa Rica;1;1
7;Spain;12;Germany;3;4
23;Japan;7;Spain;1;2
31;Costa Rica;12;Germany;0;2
Group F;;;;;
24;Morocco;16;Croatia;4;1
2;Belgium;38;Canada;3;1
2;Belgium;24;Morocco;0;1
16;Croatia;38;Canada;0;1
16;Croatia;2;Belgium;1;1
38;Canada;24;Morocco;2;1
Group G;;;;;
14;Switzerland;37;Cameroon;2;3
1;Brazil;25;Serbia;3;1
37;Cameroon;25;Serbia;2;3
1;Brazil;14;Switzerland;3;4
25;Serbia;14;Switzerland;4;3
37;Cameroon;1;Brazil;2;2
Group H;;;;;
13;Uruguay;29;South Korea;3;1
8;Portugal;60;Ghana;0;1
29;South Korea;60;Ghana;2;3
8;Portugal;13;Uruguay;0;4
60;Ghana;13;Uruguay;1;2
29;South Korea;8;Portugal;3;3
Round of 16;;;;;
46;Ecuador;21;IR Iran;1;0
4;Argentina;11;Denmark;1;0
12;Germany;38;Canada;1;0
25;Serbia;60;Ghana;1;0
15;USA;20;Senegal;1;0
42;Australia;49;Saudi Arabia;1;0
24;Morocco;7;Spain;0;1
13;Uruguay;1;Brazil;0;1
Quarter final;;;;;
46;Ecuador;4;Argentina;0;1
12;Germany;25;Serbia;1;0
15;USA;42;Australia;1;0
7;Spain;1;Brazil;1;0
Semi-Final;;;;;
4;Argentina;12;Germany;1;0
15;USA;7;Spain;1;0
Third place;;;;;
12;Germany;7;Spain;1;0
Final;;;;;
4;Argentina;15;USA;1;0
