id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,2,1
20,Senegal,10,Netherlands,1,0
51,Qatar,20,Senegal,1,0
10,Netherlands,46,Ecuador,2,2
46,Ecuador,20,Senegal,1,2
10,Netherlands,51,Qatar,2,1
Group B,,,,,
5,England,21,IR Iran,3,1
15,USA,18,Wales,2,1
18,Wales,21,IR Iran,1,1
5,England,15,USA,2,0
18,Wales,5,England,1,2
21,IR Iran,15,USA,1,1
Group C,,,,,
4,Argentina,49,Saudi Arabia,3,1
9,Mexico,26,Poland,2,1
26,Poland,49,Saudi Arabia,1,0
4,Argentina,9,Mexico,2,1
26,Poland,4,Argentina,1,3
49,Saudi Arabia,9,Mexico,0,1
Group D,,,,,
11,Denmark,35,Tunisia,2,1
3,France,42,Australia,3,1
35,Tunisia,42,Australia,1,2
3,France,11,Denmark,2,1
42,Australia,11,Denmark,1,1
35,Tunisia,3,France,0,2
Group E,,,,,
12,Germany,23,Japan,3,2
7,Spain,31,Costa Rica,3,1
23,Japan,31,Costa Rica,0,1
7,Spain,12,Germany,2,2
23,Japan,7,Spain,1,3
31,Costa Rica,12,Germany,1,2
Group F,,,,,
24,Morocco,16,Croatia,1,1
2,Belgium,38,Canada,1,0
2,Belgium,24,Morocco,1,2
16,Croatia,38,Canada,1,2
16,Croatia,2,Belgium,1,1
38,Canada,24,Morocco,2,1
Group G,,,,,
14,Switzerland,37,Cameroon,2,1
1,Brazil,25,Serbia,3,1
37,Cameroon,25,Serbia,2,1
1,Brazil,14,Switzerland,3,2
25,Serbia,14,Switzerland,0,1
37,Cameroon,1,Brazil,1,2
Group H,,,,,
13,Uruguay,29,South Korea,2,0
8,Portugal,60,Ghana,2,1
29,South Korea,60,Ghana,0,1
8,Portugal,13,Uruguay,1,2
60,Ghana,13,Uruguay,0,2
29,South Korea,8,Portugal,1,2
Round of 16,,,,,
51,Qatar,15,USA,1,0
4,Argentina,11,Denmark,1,0
7,Spain,24,Morocco,1,0
1,Brazil,8,Portugal,1,0
5,England,20,Senegal,1,0
3,France,9,Mexico,1,0
38,Canada,12,Germany,0,1
13,Uruguay,14,Switzerland,1,0
Quarter final,,,,,
51,Qatar,4,Argentina,0,1
7,Spain,1,Brazil,4,5
5,England,3,France,0,1
12,Germany,13,Uruguay,1,0
Semi-Final,,,,,
4,Argentina,1,Brazil,5,4
3,France,12,Germany,0,1
Third place,,,,,
1,Brazil,3,France,1,0
Final,,,,,
4,Argentina,12,Germany,1,0
