id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;1;2
20;Senegal;10;Netherlands;2;0
51;Qatar;20;Senegal;1;2
10;Netherlands;46;Ecuador;0;2
46;Ecuador;20;Senegal;3;2
10;Netherlands;51;Qatar;1;0
Group B;;;;;
5;England;21;IR Iran;2;1
15;USA;18;Wales;2;2
18;Wales;21;IR Iran;1;0
5;England;15;USA;1;0
18;Wales;5;England;1;1
21;IR Iran;15;USA;0;2
Group C;;;;;
4;Argentina;49;Saudi Arabia;4;0
9;Mexico;26;Poland;1;0
26;Poland;49;Saudi Arabia;0;0
4;Argentina;9;Mexico;2;1
26;Poland;4;Argentina;2;2
49;Saudi Arabia;9;Mexico;0;2
Group D;;;;;
11;Denmark;35;Tunisia;2;0
3;France;42;Australia;3;1
35;Tunisia;42;Australia;1;1
3;France;11;Denmark;0;2
42;Australia;11;Denmark;1;3
35;Tunisia;3;France;1;2
Group E;;;;;
12;Germany;23;Japan;3;1
7;Spain;31;Costa Rica;1;0
23;Japan;31;Costa Rica;0;1
7;Spain;12;Germany;0;3
23;Japan;7;Spain;1;3
31;Costa Rica;12;Germany;1;2
Group F;;;;;
24;Morocco;16;Croatia;0;3
2;Belgium;38;Canada;3;1
2;Belgium;24;Morocco;2;0
16;Croatia;38;Canada;1;1
16;Croatia;2;Belgium;1;2
38;Canada;24;Morocco;2;0
Group G;;;;;
14;Switzerland;37;Cameroon;0;2
1;Brazil;25;Serbia;4;2
37;Cameroon;25;Serbia;1;1
1;Brazil;14;Switzerland;3;0
25;Serbia;14;Switzerland;2;0
37;Cameroon;1;Brazil;0;2
Group H;;;;;
13;Uruguay;29;South Korea;2;1
8;Portugal;60;Ghana;0;0
29;South Korea;60;Ghana;1;1
8;Portugal;13;Uruguay;2;3
60;Ghana;13;Uruguay;2;0
29;South Korea;8;Portugal;1;2
Round of 16;;;;;
46;Ecuador;18;Wales;2;0
4;Argentina;3;France;3;1
12;Germany;16;Croatia;3;0
1;Brazil;60;Ghana;3;0
5;England;20;Senegal;5;6
11;Denmark;9;Mexico;2;0
2;Belgium;7;Spain;8;7
13;Uruguay;25;Serbia;3;2
Quarter final;;;;;
46;Ecuador;4;Argentina;1;2
12;Germany;1;Brazil;6;8
20;Senegal;11;Denmark;1;2
2;Belgium;13;Uruguay;3;1
Semi-Final;;;;;
4;Argentina;1;Brazil;1;3
11;Denmark;2;Belgium;2;4
Third place;;;;;
4;Argentina;11;Denmark;2;0
Final;;;;;
1;Brazil;2;Belgium;10;9
