id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,0,1
20,Senegal,10,Netherlands,1,2
51,Qatar,20,Senegal,1,0
10,Netherlands,46,Ecuador,1,1
46,Ecuador,20,Senegal,0,1
10,Netherlands,51,Qatar,2,1
Group B,,,,,
5,England,21,IR Iran,2,0
15,USA,18,Wales,1,0
18,Wales,21,IR Iran,0,1
5,England,15,USA,1,1
18,Wales,5,England,1,1
21,IR Iran,15,USA,1,3
Group C,,,,,
4,Argentina,49,Saudi Arabia,2,0
9,Mexico,26,Poland,0,1
26,Poland,49,Saudi Arabia,1,1
4,Argentina,9,Mexico,1,1
26,Poland,4,Argentina,0,0
49,Saudi Arabia,9,Mexico,0,1
Group D,,,,,
11,Denmark,35,Tunisia,1,1
3,France,42,Australia,3,1
35,Tunisia,42,Australia,1,0
3,France,11,Denmark,1,1
42,Australia,11,Denmark,0,3
35,Tunisia,3,France,0,0
Group E,,,,,
12,Germany,23,Japan,2,1
7,Spain,31,Costa Rica,2,0
23,Japan,31,Costa Rica,1,0
7,Spain,12,Germany,2,1
23,Japan,7,Spain,0,0
31,Costa Rica,12,Germany,0,3
Group F,,,,,
24,Morocco,16,Croatia,1,1
2,Belgium,38,Canada,3,0
2,Belgium,24,Morocco,1,1
16,Croatia,38,Canada,1,1
16,Croatia,2,Belgium,1,1
38,Canada,24,Morocco,0,1
Group G,,,,,
14,Switzerland,37,Cameroon,0,2
1,Brazil,25,Serbia,3,1
37,Cameroon,25,Serbia,1,0
1,Brazil,14,Switzerland,2,0
25,Serbia,14,Switzerland,2,1
37,Cameroon,1,Brazil,1,2
Group H,,,,,
13,Uruguay,29,South Korea,1,0
8,Portugal,60,Ghana,1,1
29,South Korea,60,Ghana,1,1
8,Portugal,13,Uruguay,1,1
60,Ghana,13,Uruguay,0,0
29,South Korea,8,Portugal,1,1
Round of 16,,,,,
10,Netherlands,5,England,1,0
4,Argentina,3,France,4,5
7,Spain,24,Morocco,2,0
1,Brazil,8,Portugal,3,1
15,USA,46,Ecuador,4,3
11,Denmark,26,Poland,0,1
2,Belgium,12,Germany,6,5
13,Uruguay,37,Cameroon,4,3
Quarter final,,,,,
10,Netherlands,3,France,0,1
7,Spain,1,Brazil,1,2
15,USA,26,Poland,0,1
2,Belgium,13,Uruguay,2,1
Semi-Final,,,,,
3,France,1,Brazil,0,2
26,Poland,2,Belgium,1,2
Third place,,,,,
3,France,26,Poland,4,3
Final,,,,,
1,Brazil,2,Belgium,6,5
