id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,0,3
20,Senegal,10,Netherlands,0,3
51,Qatar,20,Senegal,0,3
10,Netherlands,46,Ecuador,1,1
46,Ecuador,20,Senegal,2,0
10,Netherlands,51,Qatar,3,0
Group B,,,,,
5,England,21,IR Iran,2,0
15,USA,18,Wales,1,1
18,Wales,21,IR Iran,2,1
5,England,15,USA,1,1
18,Wales,5,England,2,1
21,IR Iran,15,USA,1,1
Group C,,,,,
4,Argentina,49,Saudi Arabia,3,0
9,Mexico,26,Poland,1,2
26,Poland,49,Saudi Arabia,2,0
4,Argentina,9,Mexico,2,0
26,Poland,4,Argentina,0,3
49,Saudi Arabia,9,Mexico,0,2
Group D,,,,,
11,Denmark,35,Tunisia,2,1
3,France,42,Australia,0,0
35,Tunisia,42,Australia,1,2
3,France,11,Denmark,2,0
42,Australia,11,Denmark,0,2
35,Tunisia,3,France,0,2
Group E,,,,,
12,Germany,23,Japan,2,1
7,Spain,31,Costa Rica,3,1
23,Japan,31,Costa Rica,2,0
7,Spain,12,Germany,2,2
23,Japan,7,Spain,0,0
31,Costa Rica,12,Germany,0,3
Group F,,,,,
24,Morocco,16,Croatia,0,1
2,Belgium,38,Canada,1,0
2,Belgium,24,Morocco,4,0
16,Croatia,38,Canada,0,0
16,Croatia,2,Belgium,2,2
38,Canada,24,Morocco,2,0
Group G,,,,,
14,Switzerland,37,Cameroon,1,1
1,Brazil,25,Serbia,2,0
37,Cameroon,25,Serbia,1,3
1,Brazil,14,Switzerland,1,0
25,Serbia,14,Switzerland,1,2
37,Cameroon,1,Brazil,1,3
Group H,,,,,
13,Uruguay,29,South Korea,2,0
8,Portugal,60,Ghana,1,1
29,South Korea,60,Ghana,2,2
8,Portugal,13,Uruguay,2,3
60,Ghana,13,Uruguay,0,1
29,South Korea,8,Portugal,0,1
Round of 16,,,,,
10,Netherlands,5,England,5,6
4,Argentina,11,Denmark,2,0
12,Germany,16,Croatia,2,0
1,Brazil,8,Portugal,3,0
18,Wales,46,Ecuador,1,2
3,France,26,Poland,2,0
2,Belgium,7,Spain,2,0
13,Uruguay,14,Switzerland,2,1
Quarter final,,,,,
5,England,4,Argentina,1,3
12,Germany,1,Brazil,1,3
46,Ecuador,3,France,6,5
2,Belgium,13,Uruguay,1,2
Semi-Final,,,,,
4,Argentina,1,Brazil,3,0
46,Ecuador,13,Uruguay,1,2
Third place,,,,,
1,Brazil,46,Ecuador,3,0
Final,,,,,
4,Argentina,13,Uruguay,4,1
