id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,1,2
20,Senegal,10,Netherlands,0,2
51,Qatar,20,Senegal,0,1
10,Netherlands,46,Ecuador,3,1
46,Ecuador,20,Senegal,2,1
10,Netherlands,51,Qatar,3,0
Group B,,,,,
5,England,21,IR Iran,3,0
15,USA,18,Wales,2,1
18,Wales,21,IR Iran,2,0
5,England,15,USA,3,1
18,Wales,5,England,1,3
21,IR Iran,15,USA,1,2
Group C,,,,,
4,Argentina,49,Saudi Arabia,3,0
9,Mexico,26,Poland,2,1
26,Poland,49,Saudi Arabia,3,0
4,Argentina,9,Mexico,3,1
26,Poland,4,Argentina,2,3
49,Saudi Arabia,9,Mexico,1,3
Group D,,,,,
11,Denmark,35,Tunisia,4,0
3,France,42,Australia,3,1
35,Tunisia,42,Australia,1,3
3,France,11,Denmark,3,0
42,Australia,11,Denmark,2,3
35,Tunisia,3,France,1,4
Group E,,,,,
12,Germany,23,Japan,3,1
7,Spain,31,Costa Rica,3,2
23,Japan,31,Costa Rica,1,2
7,Spain,12,Germany,3,3
23,Japan,7,Spain,1,2
31,Costa Rica,12,Germany,2,3
Group F,,,,,
24,Morocco,16,Croatia,2,3
2,Belgium,38,Canada,3,1
2,Belgium,24,Morocco,3,2
16,Croatia,38,Canada,3,1
16,Croatia,2,Belgium,2,4
38,Canada,24,Morocco,2,3
Group G,,,,,
14,Switzerland,37,Cameroon,3,1
1,Brazil,25,Serbia,3,2
37,Cameroon,25,Serbia,3,3
1,Brazil,14,Switzerland,4,3
25,Serbia,14,Switzerland,2,3
37,Cameroon,1,Brazil,1,3
Group H,,,,,
13,Uruguay,29,South Korea,3,1
8,Portugal,60,Ghana,3,0
29,South Korea,60,Ghana,3,1
8,Portugal,13,Uruguay,3,2
60,Ghana,13,Uruguay,1,2
29,South Korea,8,Portugal,1,3
Round of 16,,,,,
10,Netherlands,15,USA,4,6
4,Argentina,11,Denmark,3,1
12,Germany,16,Croatia,6,5
1,Brazil,13,Uruguay,3,1
5,England,46,Ecuador,3,2
3,France,9,Mexico,3,2
2,Belgium,7,Spain,1,3
8,Portugal,14,Switzerland,3,1
Quarter final,,,,,
15,USA,4,Argentina,2,3
12,Germany,1,Brazil,7,1
5,England,3,France,2,3
7,Spain,8,Portugal,6,5
Semi-Final,,,,,
4,Argentina,12,Germany,2,0
3,France,7,Spain,2,3
Third place,,,,,
12,Germany,3,France,2,3
Final,,,,,
4,Argentina,7,Spain,3,1
