id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;2;1
20;Senegal;10;Netherlands;2;2
51;Qatar;20;Senegal;3;2
10;Netherlands;46;Ecuador;2;3
46;Ecuador;20;Senegal;2;3
10;Netherlands;51;Qatar;3;2
Group B;;;;;
5;England;21;IR Iran;2;0
15;USA;18;Wales;1;0
18;Wales;21;IR Iran;2;0
5;England;15;USA;2;2
18;Wales;5;England;3;1
21;IR Iran;15;USA;2;2
Group C;;;;;
4;Argentina;49;Saudi Arabia;0;0
9;Mexico;26;Poland;1;1
26;Poland;49;Saudi Arabia;2;1
4;Argentina;9;Mexico;3;1
26;Poland;4;Argentina;1;2
49;Saudi Arabia;9;Mexico;1;2
Group D;;;;;
11;Denmark;35;Tunisia;0;0
3;France;42;Australia;0;4
35;Tunisia;42;Australia;1;3
3;France;11;Denmark;1;1
42;Australia;11;Denmark;2;1
35;Tunisia;3;France;3;3
Group E;;;;;
12;Germany;23;Japan;0;1
7;Spain;31;Costa Rica;1;2
23;Japan;31;Costa Rica;1;1
7;Spain;12;Germany;5;1
23;Japan;7;Spain;1;4
31;Costa Rica;12;Germany;1;0
Group F;;;;;
24;Morocco;16;Croatia;3;4
2;Belgium;38;Canada;1;0
2;Belgium;24;Morocco;2;3
16;Croatia;38;Canada;5;0
16;Croatia;2;Belgium;1;0
38;Canada;24;Morocco;0;3
Group G;;;;;
14;Switzerland;37;Cameroon;3;1
1;Brazil;25;Serbia;5;0
37;Cameroon;25;Serbia;2;2
1;Brazil;14;Switzerland;3;3
25;Serbia;14;Switzerland;2;2
37;Cameroon;1;Brazil;2;3
Group H;;;;;
13;Uruguay;29;South Korea;3;1
8;Portugal;60;Ghana;3;2
29;South Korea;60;Ghana;1;2
8;Portugal;13;Uruguay;3;3
60;Ghana;13;Uruguay;1;4
29;South Korea;8;Portugal;0;3
Round of 16;;;;;
51;Qatar;15;USA;0;1
4;Argentina;11;Denmark;1;0
31;Costa Rica;24;Morocco;1;0
1;Brazil;8;Portugal;0;1
18;Wales;20;Senegal;0;1
42;Australia;26;Poland;0;1
16;Croatia;7;Spain;1;0
13;Uruguay;14;Switzerland;1;0
Quarter final;;;;;
15;USA;4;Argentina;0;1
31;Costa Rica;8;Portugal;1;0
20;Senegal;26;Poland;0;1
16;Croatia;13;Uruguay;1;0
Semi-Final;;;;;
4;Argentina;31;Costa Rica;1;0
26;Poland;16;Croatia;1;0
Third place;;;;;
31;Costa Rica;16;Croatia;0;1
Final;;;;;
4;Argentina;26;Poland;0;1
