id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;2;1
20;Senegal;10;Netherlands;1;3
51;Qatar;20;Senegal;1;0
10;Netherlands;46;Ecuador;0;0
46;Ecuador;20;Senegal;0;1
10;Netherlands;51;Qatar;3;0
Group B;;;;;
5;England;21;IR Iran;2;0
15;USA;18;Wales;3;1
18;Wales;21;IR Iran;2;2
5;England;15;USA;3;2
18;Wales;5;England;1;2
21;IR Iran;15;USA;3;1
Group C;;;;;
4;Argentina;49;Saudi Arabia;4;1
9;Mexico;26;Poland;2;2
26;Poland;49;Saudi Arabia;2;0
4;Argentina;9;Mexico;2;0
26;Poland;4;Argentina;2;3
49;Saudi Arabia;9;Mexico;0;1
Group D;;;;;
11;Denmark;35;Tunisia;2;1
3;France;42;Australia;3;1
35;Tunisia;42;Australia;0;1
3;France;11;Denmark;3;2
42;Australia;11;Denmark;1;1
35;Tunisia;3;France;0;3
Group E;;;;;
12;Germany;23;Japan;1;0
7;Spain;31;Costa Rica;2;0
23;Japan;31;Costa Rica;1;3
7;Spain;12;Germany;2;0
23;Japan;7;Spain;1;3
31;Costa Rica;12;Germany;0;2
Group F;;;;;
24;Morocco;16;Croatia;0;3
2;Belgium;38;Canada;3;1
2;Belgium;24;Morocco;4;2
16;Croatia;38;Canada;1;0
16;Croatia;2;Belgium;2;2
38;Canada;24;Morocco;3;2
Group G;;;;;
14;Switzerland;37;Cameroon;4;2
1;Brazil;25;Serbia;3;1
37;Cameroon;25;Serbia;0;0
1;Brazil;14;Switzerland;2;1
25;Serbia;14;Switzerland;2;1
37;Cameroon;1;Brazil;1;5
Group H;;;;;
13;Uruguay;29;South Korea;2;0
8;Portugal;60;Ghana;3;1
29;South Korea;60;Ghana;3;3
8;Portugal;13;Uruguay;2;1
60;Ghana;13;Uruguay;1;2
29;South Korea;8;Portugal;1;3
Round of 16;;;;;
10;Netherlands;21;IR Iran;1;0
4;Argentina;11;Denmark;1;0
7;Spain;16;Croatia;1;0
1;Brazil;13;Uruguay;1;0
5;England;51;Qatar;1;0
3;France;26;Poland;1;0
2;Belgium;12;Germany;0;1
8;Portugal;25;Serbia;1;0
Quarter final;;;;;
10;Netherlands;4;Argentina;0;1
7;Spain;1;Brazil;1;0
5;England;3;France;1;0
12;Germany;8;Portugal;0;1
Semi-Final;;;;;
4;Argentina;7;Spain;1;0
5;England;8;Portugal;1;0
Third place;;;;;
7;Spain;8;Portugal;0;1
Final;;;;;
4;Argentina;5;England;1;0
