id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,1,1
20,Senegal,10,Netherlands,1,2
51,Qatar,20,Senegal,0,1
10,Netherlands,46,Ecuador,3,1
46,Ecuador,20,Senegal,2,2
10,Netherlands,51,Qatar,3,1
Group B,,,,,
5,England,21,IR Iran,1,1
15,USA,18,Wales,2,1
18,Wales,21,IR Iran,1,1
5,England,15,USA,2,2
18,Wales,5,England,1,2
21,IR Iran,15,USA,1,2
Group C,,,,,
4,Argentina,49,Saudi Arabia,4,1
9,Mexico,26,Poland,2,2
26,Poland,49,Saudi Arabia,2,1
4,Argentina,9,Mexico,2,1
26,Poland,4,Argentina,2,3
49,Saudi Arabia,9,Mexico,0,1
Group D,,,,,
11,Denmark,35,Tunisia,1,0
3,France,42,Australia,3,2
35,Tunisia,42,Australia,1,1
3,France,11,Denmark,2,1
42,Australia,11,Denmark,2,2
35,Tunisia,3,France,1,2
Group E,,,,,
12,Germany,23,Japan,2,1
7,Spain,31,Costa Rica,2,0
23,Japan,31,Costa Rica,1,1
7,Spain,12,Germany,2,1
23,Japan,7,Spain,0,2
31,Costa Rica,12,Germany,1,2
Group F,,,,,
24,Morocco,16,Croatia,1,1
2,Belgium,38,Canada,2,1
2,Belgium,24,Morocco,1,0
16,Croatia,38,Canada,1,2
16,Croatia,2,Belgium,1,1
38,Canada,24,Morocco,0,0
Group G,,,,,
14,Switzerland,37,Cameroon,1,0
1,Brazil,25,Serbia,2,1
37,Cameroon,25,Serbia,1,2
1,Brazil,14,Switzerland,3,1
25,Serbia,14,Switzerland,1,2
37,Cameroon,1,Brazil,2,4
Group H,,,,,
13,Uruguay,29,South Korea,1,0
8,Portugal,60,Ghana,1,0
29,South Korea,60,Ghana,1,1
8,Portugal,13,Uruguay,2,1
60,Ghana,13,Uruguay,1,2
29,South Korea,8,Portugal,1,2
Round of 16,,,,,
10,Netherlands,5,England,2,1
4,Argentina,11,Denmark,3,1
7,Spain,38,Canada,2,1
1,Brazil,13,Uruguay,3,1
15,USA,20,Senegal,2,0
3,France,26,Poland,2,1
2,Belgium,12,Germany,1,2
8,Portugal,14,Switzerland,4,5
Quarter final,,,,,
10,Netherlands,4,Argentina,1,2
7,Spain,1,Brazil,4,5
15,USA,3,France,4,5
12,Germany,14,Switzerland,2,1
Semi-Final,,,,,
4,Argentina,1,Brazil,6,7
3,France,12,Germany,1,2
Third place,,,,,
4,Argentina,3,France,3,1
Final,,,,,
1,Brazil,12,Germany,1,2
