id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;1;2
20;Senegal;10;Netherlands;1;3
51;Qatar;20;Senegal;2;2
10;Netherlands;46;Ecuador;3;0
46;Ecuador;20;Senegal;1;2
10;Netherlands;51;Qatar;4;1
Group B;;;;;
5;England;21;IR Iran;2;1
15;USA;18;Wales;2;1
18;Wales;21;IR Iran;2;1
5;England;15;USA;1;0
18;Wales;5;England;2;2
21;IR Iran;15;USA;1;1
Group C;;;;;
4;Argentina;49;Saudi Arabia;3;1
9;Mexico;26;Poland;1;3
26;Poland;49;Saudi Arabia;2;0
4;Argentina;9;Mexico;2;1
26;Poland;4;Argentina;2;2
49;Saudi Arabia;9;Mexico;1;2
Group D;;;;;
11;Denmark;35;Tunisia;3;1
3;France;42;Australia;2;1
35;Tunisia;42;Australia;1;1
3;France;11;Denmark;2;2
42;Australia;11;Denmark;1;2
35;Tunisia;3;France;1;2
Group E;;;;;
12;Germany;23;Japan;2;1
7;Spain;31;Costa Rica;2;0
23;Japan;31;Costa Rica;1;0
7;Spain;12;Germany;2;2
23;Japan;7;Spain;1;2
31;Costa Rica;12;Germany;0;1
Group F;;;;;
24;Morocco;16;Croatia;0;2
2;Belgium;38;Canada;1;1
2;Belgium;24;Morocco;4;2
16;Croatia;38;Canada;2;1
16;Croatia;2;Belgium;3;3
38;Canada;24;Morocco;2;1
Group G;;;;;
14;Switzerland;37;Cameroon;2;1
1;Brazil;25;Serbia;2;2
37;Cameroon;25;Serbia;1;3
1;Brazil;14;Switzerland;3;1
25;Serbia;14;Switzerland;3;2
37;Cameroon;1;Brazil;1;2
Group H;;;;;
13;Uruguay;29;South Korea;2;2
8;Portugal;60;Ghana;3;1
29;South Korea;60;Ghana;1;1
8;Portugal;13;Uruguay;2;1
60;Ghana;13;Uruguay;2;2
29;South Korea;8;Portugal;1;3
Round of 16;;;;;
10;Netherlands;18;Wales;1;0
26;Poland;3;France;0;1
7;Spain;2;Belgium;1;0
25;Serbia;13;Uruguay;1;0
5;England;20;Senegal;1;0
11;Denmark;4;Argentina;0;1
16;Croatia;12;Germany;0;1
8;Portugal;1;Brazil;1;0
Quarter final;;;;;
10;Netherlands;3;France;1;0
7;Spain;25;Serbia;1;0
5;England;4;Argentina;0;1
12;Germany;8;Portugal;1;0
Semi-Final;;;;;
10;Netherlands;7;Spain;0;1
4;Argentina;12;Germany;1;0
Third place;;;;;
10;Netherlands;12;Germany;0;1
Final;;;;;
7;Spain;4;Argentina;1;0
