id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,2,1
20,Senegal,10,Netherlands,1,0
51,Qatar,20,Senegal,1,1
10,Netherlands,46,Ecuador,1,2
46,Ecuador,20,Senegal,3,2
10,Netherlands,51,Qatar,1,2
Group B,,,,,
5,England,21,IR Iran,1,1
15,USA,18,Wales,2,2
18,Wales,21,IR Iran,2,1
5,England,15,USA,1,2
18,Wales,5,England,3,2
21,IR Iran,15,USA,1,2
Group C,,,,,
4,Argentina,49,Saudi Arabia,3,1
9,Mexico,26,Poland,2,1
26,Poland,49,Saudi Arabia,2,0
4,Argentina,9,Mexico,2,1
26,Poland,4,Argentina,0,1
49,Saudi Arabia,9,Mexico,1,2
Group D,,,,,
11,Denmark,35,Tunisia,1,1
3,France,42,Australia,2,1
35,Tunisia,42,Australia,2,2
3,France,11,Denmark,3,1
42,Australia,11,Denmark,1,2
35,Tunisia,3,France,0,1
Group E,,,,,
12,Germany,23,Japan,2,1
7,Spain,31,Costa Rica,3,1
23,Japan,31,Costa Rica,2,2
7,Spain,12,Germany,3,2
23,Japan,7,Spain,1,3
31,Costa Rica,12,Germany,0,2
Group F,,,,,
24,Morocco,16,Croatia,1,1
2,Belgium,38,Canada,2,2
2,Belgium,24,Morocco,1,1
16,Croatia,38,Canada,1,2
16,Croatia,2,Belgium,1,3
38,Canada,24,Morocco,2,3
Group G,,,,,
14,Switzerland,37,Cameroon,2,1
1,Brazil,25,Serbia,3,1
37,Cameroon,25,Serbia,2,2
1,Brazil,14,Switzerland,2,0
25,Serbia,14,Switzerland,1,2
37,Cameroon,1,Brazil,1,3
Group H,,,,,
13,Uruguay,29,South Korea,1,1
8,Portugal,60,Ghana,2,0
29,South Korea,60,Ghana,1,1
8,Portugal,13,Uruguay,3,2
60,Ghana,13,Uruguay,1,2
29,South Korea,8,Portugal,1,3
Round of 16,,,,,
51,Qatar,15,USA,4,6
4,Argentina,11,Denmark,3,1
7,Spain,24,Morocco,2,1
1,Brazil,13,Uruguay,3,2
18,Wales,46,Ecuador,1,2
3,France,9,Mexico,3,2
2,Belgium,12,Germany,1,2
8,Portugal,14,Switzerland,3,0
Quarter final,,,,,
15,USA,4,Argentina,2,4
7,Spain,1,Brazil,2,3
46,Ecuador,3,France,4,6
12,Germany,8,Portugal,5,4
Semi-Final,,,,,
4,Argentina,1,Brazil,5,6
3,France,12,Germany,6,5
Third place,,,,,
4,Argentina,12,Germany,3,2
Final,,,,,
1,Brazil,3,France,3,1
