id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,1,2
20,Senegal,10,Netherlands,0,2
51,Qatar,20,Senegal,1,0
10,Netherlands,46,Ecuador,1,0
46,Ecuador,20,Senegal,2,0
10,Netherlands,51,Qatar,1,1
Group B,,,,,
5,England,21,IR Iran,3,0
15,USA,18,Wales,1,0
18,Wales,21,IR Iran,0,2
5,England,15,USA,3,1
18,Wales,5,England,1,3
21,IR Iran,15,USA,0,1
Group C,,,,,
4,Argentina,49,Saudi Arabia,2,0
9,Mexico,26,Poland,0,1
26,Poland,49,Saudi Arabia,0,1
4,Argentina,9,Mexico,2,1
26,Poland,4,Argentina,0,2
49,Saudi Arabia,9,Mexico,1,3
Group D,,,,,
11,Denmark,35,Tunisia,2,0
3,France,42,Australia,3,1
35,Tunisia,42,Australia,1,0
3,France,11,Denmark,3,0
42,Australia,11,Denmark,1,0
35,Tunisia,3,France,0,3
Group E,,,,,
12,Germany,23,Japan,3,1
7,Spain,31,Costa Rica,2,1
23,Japan,31,Costa Rica,2,0
7,Spain,12,Germany,2,3
23,Japan,7,Spain,1,0
31,Costa Rica,12,Germany,0,3
Group F,,,,,
24,Morocco,16,Croatia,0,2
2,Belgium,38,Canada,1,0
2,Belgium,24,Morocco,2,0
16,Croatia,38,Canada,0,1
16,Croatia,2,Belgium,1,1
38,Canada,24,Morocco,2,2
Group G,,,,,
14,Switzerland,37,Cameroon,1,2
1,Brazil,25,Serbia,3,0
37,Cameroon,25,Serbia,1,0
1,Brazil,14,Switzerland,2,0
25,Serbia,14,Switzerland,1,1
37,Cameroon,1,Brazil,1,3
Group H,,,,,
13,Uruguay,29,South Korea,2,0
8,Portugal,60,Ghana,1,0
29,South Korea,60,Ghana,0,1
8,Portugal,13,Uruguay,1,2
60,Ghana,13,Uruguay,1,1
29,South Korea,8,Portugal,0,1
Round of 16,,,,,
10,Netherlands,15,USA,2,1
4,Argentina,42,Australia,2,0
12,Germany,16,Croatia,3,1
1,Brazil,8,Portugal,2,0
5,England,46,Ecuador,3,2
3,France,9,Mexico,2,1
2,Belgium,23,Japan,1,0
13,Uruguay,37,Cameroon,2,0
Quarter final,,,,,
10,Netherlands,4,Argentina,1,3
12,Germany,1,Brazil,3,2
5,England,3,France,2,1
2,Belgium,13,Uruguay,0,1
Semi-Final,,,,,
4,Argentina,12,Germany,2,0
5,England,13,Uruguay,3,1
Third place,,,,,
12,Germany,13,Uruguay,2,0
Final,,,,,
4,Argentina,5,England,1,0
