id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,0,1
20,Senegal,10,Netherlands,1,2
51,Qatar,20,Senegal,0,0
10,Netherlands,46,Ecuador,3,1
46,Ecuador,20,Senegal,1,1
10,Netherlands,51,Qatar,2,1
Group B,,,,,
5,England,21,IR Iran,2,0
15,USA,18,Wales,2,3
18,Wales,21,IR Iran,1,2
5,England,15,USA,3,1
18,Wales,5,England,1,1
21,IR Iran,15,USA,0,1
Group C,,,,,
4,Argentina,49,Saudi Arabia,5,0
9,Mexico,26,Poland,1,2
26,Poland,49,Saudi Arabia,3,1
4,Argentina,9,Mexico,3,1
26,Poland,4,Argentina,1,3
49,Saudi Arabia,9,Mexico,1,2
Group D,,,,,
11,Denmark,35,Tunisia,0,0
3,France,42,Australia,2,0
35,Tunisia,42,Australia,1,0
3,France,11,Denmark,3,1
42,Australia,11,Denmark,0,1
35,Tunisia,3,France,0,3
Group E,,,,,
12,Germany,23,Japan,4,3
7,Spain,31,Costa Rica,3,0
23,Japan,31,Costa Rica,1,0
7,Spain,12,Germany,3,3
23,Japan,7,Spain,0,4
31,Costa Rica,12,Germany,0,5
Group F,,,,,
24,Morocco,16,Croatia,3,1
2,Belgium,38,Canada,1,0
2,Belgium,24,Morocco,2,1
16,Croatia,38,Canada,1,1
16,Croatia,2,Belgium,1,3
38,Canada,24,Morocco,1,2
Group G,,,,,
14,Switzerland,37,Cameroon,2,0
1,Brazil,25,Serbia,3,0
37,Cameroon,25,Serbia,0,2
1,Brazil,14,Switzerland,4,2
25,Serbia,14,Switzerland,0,0
37,Cameroon,1,Brazil,0,3
Group H,,,,,
13,Uruguay,29,South Korea,4,0
8,Portugal,60,Ghana,1,0
29,South Korea,60,Ghana,0,0
8,Portugal,13,Uruguay,3,3
60,Ghana,13,Uruguay,0,5
29,South Korea,8,Portugal,0,2
Round of 16,,,,,
10,Netherlands,18,Wales,2,1
4,Argentina,11,Denmark,3,1
7,Spain,24,Morocco,3,0
1,Brazil,8,Portugal,8,7
5,England,46,Ecuador,6,4
3,France,26,Poland,2,1
2,Belgium,12,Germany,1,0
13,Uruguay,14,Switzerland,2,0
Quarter final,,,,,
10,Netherlands,4,Argentina,1,4
7,Spain,1,Brazil,1,2
5,England,3,France,0,2
2,Belgium,13,Uruguay,2,1
Semi-Final,,,,,
4,Argentina,1,Brazil,8,7
3,France,2,Belgium,4,6
Third place,,,,,
1,Brazil,3,France,0,1
Final,,,,,
4,Argentina,2,Belgium,2,0
