id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,3,2
20,Senegal,10,Netherlands,2,2
51,Qatar,20,Senegal,1,0
10,Netherlands,46,Ecuador,0,1
46,Ecuador,20,Senegal,1,2
10,Netherlands,51,Qatar,2,1
Group B,,,,,
5,England,21,IR Iran,3,2
15,USA,18,Wales,2,2
18,Wales,21,IR Iran,1,0
5,England,15,USA,2,0
18,Wales,5,England,1,1
21,IR Iran,15,USA,0,1
Group C,,,,,
4,Argentina,49,Saudi Arabia,1,2
9,Mexico,26,Poland,2,2
26,Poland,49,Saudi Arabia,1,1
4,Argentina,9,Mexico,0,1
26,Poland,4,Argentina,1,2
49,Saudi Arabia,9,Mexico,1,1
Group D,,,,,
11,Denmark,35,Tunisia,2,1
3,France,42,Australia,2,0
35,Tunisia,42,Australia,1,0
3,France,11,Denmark,3,2
42,Australia,11,Denmark,0,0
35,Tunisia,3,France,1,3
Group E,,,,,
12,Germany,23,Japan,2,2
7,Spain,31,Costa Rica,2,3
23,Japan,31,Costa Rica,1,0
7,Spain,12,Germany,2,1
23,Japan,7,Spain,1,2
31,Costa Rica,12,Germany,2,3
Group F,,,,,
24,Morocco,16,Croatia,1,0
2,Belgium,38,Canada,2,1
2,Belgium,24,Morocco,1,0
16,Croatia,38,Canada,1,2
16,Croatia,2,Belgium,3,1
38,Canada,24,Morocco,2,0
Group G,,,,,
14,Switzerland,37,Cameroon,0,1
1,Brazil,25,Serbia,3,2
37,Cameroon,25,Serbia,2,1
1,Brazil,14,Switzerland,1,0
25,Serbia,14,Switzerland,0,1
37,Cameroon,1,Brazil,1,1
Group H,,,,,
13,Uruguay,29,South Korea,2,1
8,Portugal,60,Ghana,2,1
29,South Korea,60,Ghana,1,0
8,Portugal,13,Uruguay,0,2
60,Ghana,13,Uruguay,1,2
29,South Korea,8,Portugal,1,1
Round of 16,,,,,
51,Qatar,18,Wales,0,1
49,Saudi Arabia,11,Denmark,1,0
7,Spain,2,Belgium,1,0
1,Brazil,29,South Korea,1,0
5,England,20,Senegal,1,0
3,France,9,Mexico,1,0
38,Canada,12,Germany,0,1
13,Uruguay,37,Cameroon,1,0
Quarter final,,,,,
18,Wales,49,Saudi Arabia,1,0
7,Spain,1,Brazil,1,0
5,England,3,France,1,0
12,Germany,13,Uruguay,1,0
Semi-Final,,,,,
18,Wales,7,Spain,0,1
5,England,12,Germany,1,0
Third place,,,,,
18,Wales,12,Germany,0,1
Final,,,,,
7,Spain,5,England,1,0
