id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,1,0
20,Senegal,10,Netherlands,1,1
51,Qatar,20,Senegal,2,2
10,Netherlands,46,Ecuador,1,1
46,Ecuador,20,Senegal,1,2
10,Netherlands,51,Qatar,0,0
Group B,,,,,
5,England,21,IR Iran,1,2
15,USA,18,Wales,2,1
18,Wales,21,IR Iran,1,1
5,England,15,USA,2,2
18,Wales,5,England,2,0
21,IR Iran,15,USA,2,2
Group C,,,,,
4,Argentina,49,Saudi Arabia,2,0
9,Mexico,26,Poland,1,0
26,Poland,49,Saudi Arabia,2,0
4,Argentina,9,Mexico,2,1
26,Poland,4,Argentina,0,2
49,Saudi Arabia,9,Mexico,2,0
Group D,,,,,
11,Denmark,35,Tunisia,2,0
3,France,42,Australia,0,1
35,Tunisia,42,Australia,2,0
3,France,11,Denmark,2,1
42,Australia,11,Denmark,1,2
35,Tunisia,3,France,0,2
Group E,,,,,
12,Germany,23,Japan,0,0
7,Spain,31,Costa Rica,1,1
23,Japan,31,Costa Rica,1,0
7,Spain,12,Germany,2,2
23,Japan,7,Spain,1,1
31,Costa Rica,12,Germany,0,1
Group F,,,,,
24,Morocco,16,Croatia,0,2
2,Belgium,38,Canada,0,1
2,Belgium,24,Morocco,1,0
16,Croatia,38,Canada,1,1
16,Croatia,2,Belgium,0,2
38,Canada,24,Morocco,0,1
Group G,,,,,
14,Switzerland,37,Cameroon,0,2
1,Brazil,25,Serbia,0,0
37,Cameroon,25,Serbia,2,2
1,Brazil,14,Switzerland,0,2
25,Serbia,14,Switzerland,2,1
37,Cameroon,1,Brazil,0,1
Group H,,,,,
13,Uruguay,29,South Korea,0,2
8,Portugal,60,Ghana,0,0
29,South Korea,60,Ghana,1,2
8,Portugal,13,Uruguay,2,1
60,Ghana,13,Uruguay,0,2
29,South Korea,8,Portugal,1,2
Round of 16,,,,,
20,Senegal,21,IR Iran,1,0
4,Argentina,3,France,1,0
12,Germany,16,Croatia,0,1
25,Serbia,60,Ghana,1,0
15,USA,51,Qatar,1,0
11,Denmark,26,Poland,0,1
2,Belgium,23,Japan,1,0
8,Portugal,37,Cameroon,1,0
Quarter final,,,,,
20,Senegal,4,Argentina,0,1
16,Croatia,25,Serbia,0,1
15,USA,26,Poland,1,0
2,Belgium,8,Portugal,0,1
Semi-Final,,,,,
4,Argentina,25,Serbia,0,1
15,USA,8,Portugal,1,0
Third place,,,,,
4,Argentina,8,Portugal,0,1
Final,,,,,
25,Serbia,15,USA,0,1
