id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,2,1
20,Senegal,10,Netherlands,0,2
51,Qatar,20,Senegal,2,1
10,Netherlands,46,Ecuador,2,1
46,Ecuador,20,Senegal,1,1
10,Netherlands,51,Qatar,2,0
Group B,,,,,
5,England,21,IR Iran,2,0
15,USA,18,Wales,2,2
18,Wales,21,IR Iran,1,1
5,England,15,USA,1,1
18,Wales,5,England,1,2
21,IR Iran,15,USA,2,2
Group C,,,,,
4,Argentina,49,Saudi Arabia,2,1
9,Mexico,26,Poland,1,2
26,Poland,49,Saudi Arabia,2,1
4,Argentina,9,Mexico,2,1
26,Poland,4,Argentina,1,2
49,Saudi Arabia,9,Mexico,1,2
Group D,,,,,
11,Denmark,35,Tunisia,2,0
3,France,42,Australia,1,1
35,Tunisia,42,Australia,0,2
3,France,11,Denmark,2,2
42,Australia,11,Denmark,1,2
35,Tunisia,3,France,1,2
Group E,,,,,
12,Germany,23,Japan,2,1
7,Spain,31,Costa Rica,2,0
23,Japan,31,Costa Rica,1,1
7,Spain,12,Germany,1,2
23,Japan,7,Spain,1,2
31,Costa Rica,12,Germany,1,3
Group F,,,,,
24,Morocco,16,Croatia,0,1
2,Belgium,38,Canada,2,1
2,Belgium,24,Morocco,3,1
16,Croatia,38,Canada,2,2
16,Croatia,2,Belgium,1,2
38,Canada,24,Morocco,3,1
Group G,,,,,
14,Switzerland,37,Cameroon,2,1
1,Brazil,25,Serbia,2,1
37,Cameroon,25,Serbia,1,3
1,Brazil,14,Switzerland,3,1
25,Serbia,14,Switzerland,1,3
37,Cameroon,1,Brazil,0,3
Group H,,,,,
13,Uruguay,29,South Korea,1,1
8,Portugal,60,Ghana,3,1
29,South Korea,60,Ghana,1,2
8,Portugal,13,Uruguay,2,2
60,Ghana,13,Uruguay,1,2
29,South Korea,8,Portugal,1,2
Round of 16,,,,,
10,Netherlands,15,USA,1,0
4,Argentina,3,France,0,1
12,Germany,38,Canada,2,0
1,Brazil,13,Uruguay,2,1
5,England,51,Qatar,1,2
11,Denmark,26,Poland,0,1
2,Belgium,7,Spain,1,0
8,Portugal,14,Switzerland,1,2
Quarter final,,,,,
10,Netherlands,3,France,1,0
12,Germany,1,Brazil,2,1
51,Qatar,26,Poland,1,2
2,Belgium,14,Switzerland,2,1
Semi-Final,,,,,
10,Netherlands,12,Germany,0,1
26,Poland,2,Belgium,1,0
Third place,,,,,
10,Netherlands,2,Belgium,2,0
Final,,,,,
12,Germany,26,Poland,2,1
