id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,2,1
20,Senegal,10,Netherlands,0,2
51,Qatar,20,Senegal,2,1
10,Netherlands,46,Ecuador,1,2
46,Ecuador,20,Senegal,3,1
10,Netherlands,51,Qatar,2,1
Group B,,,,,
5,England,21,IR Iran,4,1
15,USA,18,Wales,3,1
18,Wales,21,IR Iran,2,0
5,England,15,USA,1,0
18,Wales,5,England,1,3
21,IR Iran,15,USA,0,2
Group C,,,,,
4,Argentina,49,Saudi Arabia,3,1
9,Mexico,26,Poland,2,0
26,Poland,49,Saudi Arabia,1,1
4,Argentina,9,Mexico,3,1
26,Poland,4,Argentina,0,3
49,Saudi Arabia,9,Mexico,1,3
Group D,,,,,
11,Denmark,35,Tunisia,2,1
3,France,42,Australia,3,1
35,Tunisia,42,Australia,1,2
3,France,11,Denmark,2,1
42,Australia,11,Denmark,1,2
35,Tunisia,3,France,1,3
Group E,,,,,
12,Germany,23,Japan,4,1
7,Spain,31,Costa Rica,3,0
23,Japan,31,Costa Rica,2,1
7,Spain,12,Germany,1,3
23,Japan,7,Spain,1,2
31,Costa Rica,12,Germany,1,3
Group F,,,,,
24,Morocco,16,Croatia,1,2
2,Belgium,38,Canada,3,2
2,Belgium,24,Morocco,3,1
16,Croatia,38,Canada,2,0
16,Croatia,2,Belgium,1,2
38,Canada,24,Morocco,3,0
Group G,,,,,
14,Switzerland,37,Cameroon,3,0
1,Brazil,25,Serbia,4,0
37,Cameroon,25,Serbia,1,2
1,Brazil,14,Switzerland,3,1
25,Serbia,14,Switzerland,1,1
37,Cameroon,1,Brazil,0,4
Group H,,,,,
13,Uruguay,29,South Korea,3,0
8,Portugal,60,Ghana,4,0
29,South Korea,60,Ghana,1,1
8,Portugal,13,Uruguay,2,3
60,Ghana,13,Uruguay,0,2
29,South Korea,8,Portugal,1,4
Round of 16,,,,,
46,Ecuador,15,USA,1,2
4,Argentina,11,Denmark,3,2
12,Germany,16,Croatia,3,1
1,Brazil,8,Portugal,2,0
5,England,10,Netherlands,2,1
3,France,9,Mexico,3,1
2,Belgium,7,Spain,1,2
13,Uruguay,14,Switzerland,4,3
Quarter final,,,,,
15,USA,4,Argentina,1,2
12,Germany,1,Brazil,2,3
5,England,3,France,2,1
7,Spain,13,Uruguay,1,2
Semi-Final,,,,,
4,Argentina,1,Brazil,6,5
5,England,13,Uruguay,2,1
Third place,,,,,
1,Brazil,13,Uruguay,3,1
Final,,,,,
4,Argentina,5,England,2,1
