id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;0;3
20;Senegal;10;Netherlands;0;3
51;Qatar;20;Senegal;1;2
10;Netherlands;46;Ecuador;1;1
46;Ecuador;20;Senegal;2;1
10;Netherlands;51;Qatar;3;0
Group B;;;;;
5;England;21;IR Iran;5;0
15;USA;18;Wales;2;1
18;Wales;21;IR Iran;3;1
5;England;15;USA;2;1
18;Wales;5;England;1;2
21;IR Iran;15;USA;1;3
Group C;;;;;
4;Argentina;49;Saudi Arabia;3;0
9;Mexico;26;Poland;2;2
26;Poland;49;Saudi Arabia;3;0
4;Argentina;9;Mexico;2;1
26;Poland;4;Argentina;1;2
49;Saudi Arabia;9;Mexico;0;2
Group D;;;;;
11;Denmark;35;Tunisia;2;1
3;France;42;Australia;3;0
35;Tunisia;42;Australia;1;1
3;France;11;Denmark;2;1
42;Australia;11;Denmark;1;2
35;Tunisia;3;France;0;3
Group E;;;;;
12;Germany;23;Japan;3;0
7;Spain;31;Costa Rica;4;0
23;Japan;31;Costa Rica;2;1
7;Spain;12;Germany;1;2
23;Japan;7;Spain;1;2
31;Costa Rica;12;Germany;0;5
Group F;;;;;
24;Morocco;16;Croatia;1;2
2;Belgium;38;Canada;1;0
2;Belgium;24;Morocco;1;0
16;Croatia;38;Canada;1;1
16;Croatia;2;Belgium;1;1
38;Canada;24;Morocco;1;1
Group G;;;;;
14;Switzerland;37;Cameroon;2;1
1;Brazil;25;Serbia;3;1
37;Cameroon;25;Serbia;2;1
1;Brazil;14;Switzerland;3;1
25;Serbia;14;Switzerland;1;2
37;Cameroon;1;Brazil;0;3
Group H;;;;;
13;Uruguay;29;South Korea;3;0
8;Portugal;60;Ghana;3;0
29;South Korea;60;Ghana;1;1
8;Portugal;13;Uruguay;1;1
60;Ghana;13;Uruguay;1;3
29;South Korea;8;Portugal;0;2
Round of 16;;;;;
10;Netherlands;15;USA;2;1
4;Argentina;11;Denmark;2;1
12;Germany;16;Croatia;3;0
1;Brazil;8;Portugal;2;1
5;England;46;Ecuador;2;0
3;France;26;Poland;2;0
2;Belgium;7;Spain;1;2
13;Uruguay;14;Switzerland;2;1
Quarter final;;;;;
10;Netherlands;4;Argentina;1;2
12;Germany;1;Brazil;1;2
5;England;3;France;1;2
7;Spain;13;Uruguay;2;1
Semi-Final;;;;;
4;Argentina;1;Brazil;3;2
3;France;7;Spain;1;0
Third place;;;;;
1;Brazil;7;Spain;6;0
Final;;;;;
4;Argentina;3;France;3;1
