id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;3;1
20;Senegal;10;Netherlands;2;3
51;Qatar;20;Senegal;0;2
10;Netherlands;46;Ecuador;3;0
46;Ecuador;20;Senegal;0;3
10;Netherlands;51;Qatar;3;1
Group B;;;;;
5;England;21;IR Iran;3;0
15;USA;18;Wales;2;2
18;Wales;21;IR Iran;2;1
5;England;15;USA;3;1
18;Wales;5;England;2;3
21;IR Iran;15;USA;2;3
Group C;;;;;
4;Argentina;49;Saudi Arabia;3;0
9;Mexico;26;Poland;3;2
26;Poland;49;Saudi Arabia;2;0
4;Argentina;9;Mexico;1;0
26;Poland;4;Argentina;0;2
49;Saudi Arabia;9;Mexico;1;2
Group D;;;;;
11;Denmark;35;Tunisia;2;1
3;France;42;Australia;3;1
35;Tunisia;42;Australia;2;2
3;France;11;Denmark;3;2
42;Australia;11;Denmark;3;2
35;Tunisia;3;France;0;3
Group E;;;;;
12;Germany;23;Japan;3;0
7;Spain;31;Costa Rica;2;1
23;Japan;31;Costa Rica;1;1
7;Spain;12;Germany;2;2
23;Japan;7;Spain;1;3
31;Costa Rica;12;Germany;1;2
Group F;;;;;
24;Morocco;16;Croatia;2;3
2;Belgium;38;Canada;3;3
2;Belgium;24;Morocco;2;1
16;Croatia;38;Canada;3;2
16;Croatia;2;Belgium;2;2
38;Canada;24;Morocco;2;1
Group G;;;;;
14;Switzerland;37;Cameroon;3;0
1;Brazil;25;Serbia;2;0
37;Cameroon;25;Serbia;1;2
1;Brazil;14;Switzerland;2;2
25;Serbia;14;Switzerland;1;2
37;Cameroon;1;Brazil;0;3
Group H;;;;;
13;Uruguay;29;South Korea;2;1
8;Portugal;60;Ghana;2;0
29;South Korea;60;Ghana;2;1
8;Portugal;13;Uruguay;2;1
60;Ghana;13;Uruguay;1;2
29;South Korea;8;Portugal;1;3
Round of 16;;;;;
10;Netherlands;18;Wales;1;0
4;Argentina;42;Australia;1;0
12;Germany;2;Belgium;1;0
1;Brazil;13;Uruguay;1;0
5;England;20;Senegal;1;0
3;France;9;Mexico;1;0
16;Croatia;7;Spain;1;0
8;Portugal;14;Switzerland;1;0
Quarter final;;;;;
10;Netherlands;4;Argentina;0;1
12;Germany;1;Brazil;0;1
5;England;3;France;0;1
16;Croatia;8;Portugal;0;1
Semi-Final;;;;;
4;Argentina;1;Brazil;1;0
3;France;8;Portugal;0;1
Third place;;;;;
1;Brazil;3;France;1;0
Final;;;;;
4;Argentina;8;Portugal;1;0
