id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,1,1
20,Senegal,10,Netherlands,1,2
51,Qatar,20,Senegal,0,2
10,Netherlands,46,Ecuador,2,1
46,Ecuador,20,Senegal,2,1
10,Netherlands,51,Qatar,3,0
Group B,,,,,
5,England,21,IR Iran,3,0
15,USA,18,Wales,1,1
18,Wales,21,IR Iran,1,1
5,England,15,USA,3,2
18,Wales,5,England,2,2
21,IR Iran,15,USA,0,2
Group C,,,,,
4,Argentina,49,Saudi Arabia,2,0
9,Mexico,26,Poland,2,2
26,Poland,49,Saudi Arabia,3,1
4,Argentina,9,Mexico,3,2
26,Poland,4,Argentina,1,1
49,Saudi Arabia,9,Mexico,0,2
Group D,,,,,
11,Denmark,35,Tunisia,3,1
3,France,42,Australia,2,0
35,Tunisia,42,Australia,2,2
3,France,11,Denmark,3,3
42,Australia,11,Denmark,0,2
35,Tunisia,3,France,0,3
Group E,,,,,
12,Germany,23,Japan,1,1
7,Spain,31,Costa Rica,3,0
23,Japan,31,Costa Rica,2,2
7,Spain,12,Germany,2,2
23,Japan,7,Spain,1,3
31,Costa Rica,12,Germany,0,3
Group F,,,,,
24,Morocco,16,Croatia,1,2
2,Belgium,38,Canada,3,2
2,Belgium,24,Morocco,4,1
16,Croatia,38,Canada,2,1
16,Croatia,2,Belgium,2,2
38,Canada,24,Morocco,2,1
Group G,,,,,
14,Switzerland,37,Cameroon,2,1
1,Brazil,25,Serbia,3,1
37,Cameroon,25,Serbia,2,2
1,Brazil,14,Switzerland,4,2
25,Serbia,14,Switzerland,1,3
37,Cameroon,1,Brazil,1,4
Group H,,,,,
13,Uruguay,29,South Korea,3,2
8,Portugal,60,Ghana,3,1
29,South Korea,60,Ghana,1,2
8,Portugal,13,Uruguay,1,1
60,Ghana,13,Uruguay,2,3
29,South Korea,8,Portugal,1,3
Round of 16,,,,,
10,Netherlands,15,USA,2,1
4,Argentina,11,Denmark,7,5
7,Spain,16,Croatia,3,1
1,Brazil,13,Uruguay,3,1
5,England,46,Ecuador,3,1
3,France,26,Poland,4,2
2,Belgium,12,Germany,2,3
8,Portugal,14,Switzerland,4,5
Quarter final,,,,,
10,Netherlands,4,Argentina,3,4
7,Spain,1,Brazil,2,3
5,England,3,France,2,3
12,Germany,14,Switzerland,3,1
Semi-Final,,,,,
4,Argentina,1,Brazil,3,2
3,France,12,Germany,2,1
Third place,,,,,
1,Brazil,12,Germany,4,5
Final,,,,,
4,Argentina,3,France,4,2
