id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,3,2
20,Senegal,10,Netherlands,0,0
51,Qatar,20,Senegal,0,2
10,Netherlands,46,Ecuador,2,0
46,Ecuador,20,Senegal,1,1
10,Netherlands,51,Qatar,3,2
Group B,,,,,
5,England,21,IR Iran,3,2
15,USA,18,Wales,2,1
18,Wales,21,IR Iran,3,1
5,England,15,USA,1,1
18,Wales,5,England,1,3
21,IR Iran,15,USA,1,2
Group C,,,,,
4,Argentina,49,Saudi Arabia,3,0
9,Mexico,26,Poland,2,1
26,Poland,49,Saudi Arabia,1,0
4,Argentina,9,Mexico,1,0
26,Poland,4,Argentina,2,2
49,Saudi Arabia,9,Mexico,0,3
Group D,,,,,
11,Denmark,35,Tunisia,2,0
3,France,42,Australia,3,1
35,Tunisia,42,Australia,1,1
3,France,11,Denmark,1,1
42,Australia,11,Denmark,1,3
35,Tunisia,3,France,0,3
Group E,,,,,
12,Germany,23,Japan,4,1
7,Spain,31,Costa Rica,2,1
23,Japan,31,Costa Rica,0,2
7,Spain,12,Germany,4,2
23,Japan,7,Spain,0,2
31,Costa Rica,12,Germany,1,1
Group F,,,,,
24,Morocco,16,Croatia,0,1
2,Belgium,38,Canada,2,0
2,Belgium,24,Morocco,3,1
16,Croatia,38,Canada,0,1
16,Croatia,2,Belgium,2,4
38,Canada,24,Morocco,1,0
Group G,,,,,
14,Switzerland,37,Cameroon,2,0
1,Brazil,25,Serbia,6,2
37,Cameroon,25,Serbia,2,1
1,Brazil,14,Switzerland,3,1
25,Serbia,14,Switzerland,1,2
37,Cameroon,1,Brazil,0,2
Group H,,,,,
13,Uruguay,29,South Korea,2,1
8,Portugal,60,Ghana,2,1
29,South Korea,60,Ghana,1,1
8,Portugal,13,Uruguay,0,2
60,Ghana,13,Uruguay,1,3
29,South Korea,8,Portugal,2,2
Round of 16,,,,,
10,Netherlands,15,USA,0,1
4,Argentina,11,Denmark,3,1
7,Spain,38,Canada,3,1
1,Brazil,8,Portugal,7,5
5,England,20,Senegal,3,0
3,France,9,Mexico,2,0
2,Belgium,12,Germany,6,5
13,Uruguay,14,Switzerland,2,1
Quarter final,,,,,
15,USA,4,Argentina,2,3
7,Spain,1,Brazil,0,2
5,England,3,France,3,2
2,Belgium,13,Uruguay,2,0
Semi-Final,,,,,
4,Argentina,1,Brazil,3,2
5,England,2,Belgium,1,0
Third place,,,,,
1,Brazil,2,Belgium,1,3
Final,,,,,
4,Argentina,5,England,3,2
