id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;1;0
20;Senegal;10;Netherlands;0;2
51;Qatar;20;Senegal;1;0
10;Netherlands;46;Ecuador;4;0
46;Ecuador;20;Senegal;0;1
10;Netherlands;51;Qatar;0;1
Group B;;;;;
5;England;21;IR Iran;5;0
15;USA;18;Wales;1;0
18;Wales;21;IR Iran;2;0
5;England;15;USA;2;0
18;Wales;5;England;1;2
21;IR Iran;15;USA;1;3
Group C;;;;;
4;Argentina;49;Saudi Arabia;3;1
9;Mexico;26;Poland;2;2
26;Poland;49;Saudi Arabia;2;0
4;Argentina;9;Mexico;1;0
26;Poland;4;Argentina;0;1
49;Saudi Arabia;9;Mexico;0;3
Group D;;;;;
11;Denmark;35;Tunisia;2;0
3;France;42;Australia;1;1
35;Tunisia;42;Australia;1;2
3;France;11;Denmark;0;2
42;Australia;11;Denmark;1;1
35;Tunisia;3;France;0;0
Group E;;;;;
12;Germany;23;Japan;3;2
7;Spain;31;Costa Rica;2;0
23;Japan;31;Costa Rica;3;1
7;Spain;12;Germany;1;0
23;Japan;7;Spain;1;2
31;Costa Rica;12;Germany;0;3
Group F;;;;;
24;Morocco;16;Croatia;0;1
2;Belgium;38;Canada;4;1
2;Belgium;24;Morocco;5;1
16;Croatia;38;Canada;2;0
16;Croatia;2;Belgium;1;2
38;Canada;24;Morocco;2;1
Group G;;;;;
14;Switzerland;37;Cameroon;0;1
1;Brazil;25;Serbia;2;0
37;Cameroon;25;Serbia;2;1
1;Brazil;14;Switzerland;3;1
25;Serbia;14;Switzerland;1;2
37;Cameroon;1;Brazil;1;2
Group H;;;;;
13;Uruguay;29;South Korea;2;0
8;Portugal;60;Ghana;1;0
29;South Korea;60;Ghana;2;0
8;Portugal;13;Uruguay;2;2
60;Ghana;13;Uruguay;0;1
29;South Korea;8;Portugal;1;3
Round of 16;;;;;
51;Qatar;15;USA;4;3
4;Argentina;42;Australia;2;0
7;Spain;16;Croatia;1;2
1;Brazil;13;Uruguay;1;2
5;England;10;Netherlands;3;2
11;Denmark;9;Mexico;8;7
2;Belgium;12;Germany;4;2
8;Portugal;37;Cameroon;2;0
Quarter final;;;;;
51;Qatar;4;Argentina;1;4
16;Croatia;13;Uruguay;0;2
5;England;11;Denmark;4;0
2;Belgium;8;Portugal;3;2
Semi-Final;;;;;
4;Argentina;13;Uruguay;4;3
5;England;2;Belgium;2;3
Third place;;;;;
13;Uruguay;5;England;1;3
Final;;;;;
4;Argentina;2;Belgium;2;1
