id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;0;2
20;Senegal;10;Netherlands;1;2
51;Qatar;20;Senegal;1;2
10;Netherlands;46;Ecuador;1;2
46;Ecuador;20;Senegal;1;1
10;Netherlands;51;Qatar;2;0
Group B;;;;;
5;England;21;IR Iran;2;1
15;USA;18;Wales;1;1
18;Wales;21;IR Iran;0;0
5;England;15;USA;2;0
18;Wales;5;England;0;1
21;IR Iran;15;USA;1;0
Group C;;;;;
4;Argentina;49;Saudi Arabia;2;1
9;Mexico;26;Poland;1;2
26;Poland;49;Saudi Arabia;2;0
4;Argentina;9;Mexico;2;1
26;Poland;4;Argentina;0;1
49;Saudi Arabia;9;Mexico;0;1
Group D;;;;;
11;Denmark;35;Tunisia;1;0
3;France;42;Australia;3;0
35;Tunisia;42;Australia;1;0
3;France;11;Denmark;2;1
42;Australia;11;Denmark;0;1
35;Tunisia;3;France;0;3
Group E;;;;;
12;Germany;23;Japan;3;1
7;Spain;31;Costa Rica;2;1
23;Japan;31;Costa Rica;1;1
7;Spain;12;Germany;0;2
23;Japan;7;Spain;1;2
31;Costa Rica;12;Germany;1;1
Group F;;;;;
24;Morocco;16;Croatia;0;1
2;Belgium;38;Canada;2;1
2;Belgium;24;Morocco;1;0
16;Croatia;38;Canada;2;1
16;Croatia;2;Belgium;0;1
38;Canada;24;Morocco;0;1
Group G;;;;;
14;Switzerland;37;Cameroon;1;1
1;Brazil;25;Serbia;3;2
37;Cameroon;25;Serbia;0;0
1;Brazil;14;Switzerland;2;0
25;Serbia;14;Switzerland;2;0
37;Cameroon;1;Brazil;0;1
Group H;;;;;
13;Uruguay;29;South Korea;2;0
8;Portugal;60;Ghana;2;1
29;South Korea;60;Ghana;1;0
8;Portugal;13;Uruguay;1;1
60;Ghana;13;Uruguay;0;1
29;South Korea;8;Portugal;0;0
Round of 16;;;;;
46;Ecuador;21;IR Iran;1;0
4;Argentina;11;Denmark;2;0
12;Germany;16;Croatia;1;0
1;Brazil;8;Portugal;2;0
5;England;10;Netherlands;3;2
3;France;26;Poland;2;1
2;Belgium;7;Spain;1;0
13;Uruguay;25;Serbia;2;1
Quarter final;;;;;
46;Ecuador;4;Argentina;0;1
12;Germany;1;Brazil;2;1
5;England;3;France;1;2
2;Belgium;13;Uruguay;1;0
Semi-Final;;;;;
4;Argentina;12;Germany;5;4
3;France;2;Belgium;2;0
Third place;;;;;
12;Germany;2;Belgium;1;0
Final;;;;;
4;Argentina;3;France;4;6
