Position,Alias,Stage 1,Stage 2,Total
1,Iara!,24,0,24
2,Clau,24,0,24
3,Papadopoulus,24,0,24
4,Lastima Catamarancio,24,0,24
5,Juan,24,0,24
6,Elcrack,24,0,24
7,Tomi,24,0,24
8,Aardvark,22,0,22
9,Deppel,22,0,22
10,PabloL,22,0,22
11,Julo,22,0,22
12,Iliana,22,0,22
13,El chileno,22,0,22
14,Sofita8,22,0,22
15,Chepa,22,0,22
16,Tobi,22,0,22
17,Ire,20,0,20
18,Das riesengroße Dings-Bums,16,0,16
19,Gol de Catamarancio,16,0,16
20,Manfred,16,0,16
21,Micaela,16,0,16
22,Mastodonte,16,0,16
23,Talocotío,16,0,16
24,Federico-E,16,0,16
25,Federico-A,16,0,16
26,Hakuna Matata,14,0,14
27,Rosi,14,0,14
28,Cute ARG,14,0,14
29,Roberto der Alte,14,0,14
30,Rene Lavan,14,0,14
31,Chepa 2.0,14,0,14
32,Beebee,14,0,14
33,Bittlein75,14,0,14
34,Maestro Yoda,14,0,14
35,Connie,14,0,14
36,Patito goleador legendario,12,0,12
37,Roberto der Breite,12,0,12
38,Bittlein23,12,0,12
39,Grogu (baby Yoda),12,0,12
40,Matata Hakuna,8,0,8
41,Loyal Sushi,8,0,8
42,Angelika,8,0,8
43,Iaia,8,0,8
44,Sean el Koala,8,0,8
45,Carapotato,8,0,8
46,Bernd das Brot,6,0,6
47,Caro,6,0,6
48,Flo,6,0,6
49,Cage,6,0,6
50,Macaco,0,0,0
51,Juaju,0,0,0
