Position,Alias,Stage 1,Stage 2,Total
1,Elcrack,206,0,206
2,Aardvark,194,0,194
3,Tobi,192,0,192
4,Caro,192,0,192
5,Gol de Catamarancio,192,0,192
6,Bernd das Brot,188,0,188
7,Grogu (baby Yoda),186,0,186
8,Patito goleador legendario,184,0,184
9,Das riesengroße Dings-Bums,182,0,182
10,PabloL,182,0,182
11,Deppel,182,0,182
12,Mastodonte,180,0,180
13,Iara!,178,0,178
14,Julo,176,0,176
15,El chileno,174,0,174
16,Cage,174,0,174
17,Iaia,172,0,172
18,Clau,172,0,172
19,Papadopoulus,172,0,172
20,Roberto der Alte,170,0,170
21,Beebee,170,0,170
22,Tomi,168,0,168
23,Juan,164,0,164
24,Federico-E,162,0,162
25,Sofita8,162,0,162
26,Manfred,162,0,162
27,Flo,160,0,160
28,Rene Lavan,158,0,158
29,Juaju,152,0,152
30,Roberto der Breite,150,0,150
31,Micaela,150,0,150
32,Connie,148,0,148
33,Cute ARG,148,0,148
34,Iliana,148,0,148
35,Rosi,146,0,146
36,Federico-A,146,0,146
37,Maestro Yoda,146,0,146
38,Ire,140,0,140
39,Talocotío,140,0,140
40,Chepa,140,0,140
41,Angelika,136,0,136
42,Sean el Koala,130,0,130
43,Loyal Sushi,128,0,128
44,Lastima Catamarancio,128,0,128
45,Matata Hakuna,122,0,122
46,Hakuna Matata,120,0,120
47,Chepa 2.0,118,0,118
48,Macaco,112,0,112
49,Bittlein75,108,0,108
50,Carapotato,102,0,102
51,Bittlein23,100,0,100
